_pathTag,"Test Case Description",Priority,"Can Automate","Is Automated","Validation points","Test Step Description"
Grid/Column,"Copy column have data type is ""Single line"" to ""Number""",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single column&quot;</li><li>Paste column header to column have data type is &quot;Number&quot;</li>"
Grid/Column,"Copy column have data type is ""Single line"" to ""Single selection""",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single column&quot;</li><li>Paste column header to column have data type is &quot;Single Selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Single line"" to ""Date time""",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single column&quot;</li><li>Paste column header to column have data type is &quot;Date time&quot;</li>"
Grid/Column,"Copy column have data type is ""Single line"" to ""localization"" have localization type is ""Source language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single column&quot;</li><li>Paste column header to column have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Column,"Copy column have data type is ""Single line"" to ""localization"" have localization type is ""Target language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single column&quot;</li><li>Paste column header to column have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Column,"Copy column have data type is ""Multiple lines"" to ""Single Line""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Multiple columns&quot;</li><li>Paste column header to column have data type is &quot;Singe column&quot;</li>"
Grid/Column,"Copy column have data type is ""Multiple lines"" to ""Rich text""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Multiple columns&quot;</li><li>Paste column header to column have data type is &quot;Rich text&quot;</li>"
Grid/Column,"Copy column have data type is ""Multiple lines"" to ""number""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Multiple columns&quot;</li><li>Paste column header to column have data type is &quot;Number&quot;</li>"
Grid/Column,"Copy column have data type is ""Multiple lines"" to ""Single selection""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Multiple columns&quot;</li><li>Paste column header to column have data type is &quot;Singe selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Multiple lines"" to ""Date time""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Multiple columns&quot;</li><li>Paste column header to column have data type is &quot;Date time&quot;</li>"
Grid/Column,"Copy column have data type is ""Multiple lines"" to ""localization"" have localization type is ""Target language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Multiple columns&quot;</li><li>Paste column header to column have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Column,"Copy column have data type is ""Multiple lines"" to ""localization"" have localization type is ""Source language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Multiple columns&quot;</li><li>Paste column header to column have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Column,"Copy column have data type is ""Rich text"" to ""Single Line""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Rich text&quot;</li><li>Paste column header to column have data type is &quot;Single column&quot;</li>"
Grid/Column,"Copy column have data type is ""Rich text"" to ""Multiple Lines""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Rich text&quot;</li><li>Paste column header to column have data type is &quot;Multiple columns&quot;</li>"
Grid/Column,"Copy column have data type is ""Rich text"" to ""Number""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Rich text&quot;</li><li>Paste column header to column have data type is &quot;Number&quot;</li>"
Grid/Column,"Copy column have data type is ""Rich text"" to ""Single Selection""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Rich text&quot;</li><li>Paste column header to column have data type is &quot;Single selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Rich text"" to ""Date time""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Rich text&quot;</li><li>Paste column header to column have data type is &quot;Date time&quot;</li>"
Grid/Column,"Copy column have data type is ""Rich text"" to ""localization"" have localization type is ""Target language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Rich text&quot;</li><li>Paste column header to column have data type is &quot;localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Column,"Copy column have data type is ""Rich text"" to ""localization"" have localization type is ""Source language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Rich text&quot;</li><li>Paste column header to column have data type is &quot;localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Column,"Copy column have data type is ""Number"" to ""Single Line""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Number&quot;</li><li>Paste column header to column have data type is &quot;Single column&quot;</li>"
Grid/Column,"Copy column have data type is ""Number"" to ""Multiple Lines""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Number&quot;</li><li>Paste column header to column have data type is &quot;Multiple columns&quot;</li>"
Grid/Column,"Copy column have data type is ""Number"" to ""Rich text""",Medium,false,false,,"<p>Access to &quot;workspace&quot; screen.</p><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Number&quot;</li><li>Paste column header to column have data type is &quot;Rich text&quot;</li>"
Grid/Column,"Copy column have data type is ""Number"" to ""Single Selection""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Number&quot;</li><li>Paste column header to column have data type is &quot;Single Selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Number"" to ""Date time""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Number&quot;</li><li>Paste column header to column have data type is &quot;Date time&quot;</li>"
Grid/Column,"Copy column have data type is ""number"" to ""localization"" have localization type is ""Target language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Number&quot;</li><li>Paste column header to column have data type is &quot;localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Column,"Copy column have data type is ""number"" to ""localization"" have localization type is ""Source language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Number&quot;</li><li>Paste column header to column have data type is &quot;localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Column,"Copy column have data type is ""Single Selection"" to ""Single Line""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single Selection&quot;</li><li>Paste column header to column have data type is &quot;Single column&quot;</li>"
Grid/Column,"Copy column have data type is ""Single Selection"" to ""Multiple lines""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single Selection&quot;</li><li>Paste column header to column have data type is &quot;Multiple column&quot;</li>"
Grid/Column,"Copy column have data type is ""Single Selection"" to ""Rich text""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single Selection&quot;</li><li>Paste column header to column have data type is &quot;Rich text&quot;</li>"
Grid/Column,"Copy column have data type is ""Single Selection"" to ""number""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single Selection&quot;</li><li>Paste column header to column have data type is &quot;Number&quot;</li>"
